problem;instance;n;algorithm;budget;parameters;run;fitness;nfev;time
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.0;1;11497;384;703
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.0;2;11185;400;672
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.0;3;11341;386;844
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.0;4;11832;397;766
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.0;5;11651;376;719
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.0;6;11631;394;859
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.0;7;11353;400;828
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.0;8;11485;398;828
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.0;9;11416;394;891
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.0;10;11585;396;687
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.0;1;11439;388;969
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.0;2;7101;399;1000
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.0;3;9562;395;812
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.0;4;7549;361;922
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.0;5;7963;397;828
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.0;6;9008;397;969
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.0;7;8878;397;859
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.0;8;8424;382;953
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.0;9;8244;390;828
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.0;10;6416;378;938
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.0;1;1683;304;375
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.0;2;1606;350;344
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.0;3;1720;35;359
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.0;4;1677;266;281
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.0;5;1681;259;328
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.0;6;1677;219;297
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.0;7;1657;304;297
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.0;8;1741;310;281
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.0;9;1669;344;328
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.0;10;1680;329;328
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.0;1;3270;399;734
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.0;2;3316;399;641
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.0;3;3414;396;781
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.0;4;3393;393;828
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.0;5;3347;390;828
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.0;6;3289;386;734
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.0;7;3393;386;625
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.0;8;3340;358;766
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.0;9;3281;349;672
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.0;10;3384;400;703
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.0;1;107440;379;219
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.0;2;113060;399;234
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.0;3;109430;380;187
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.0;4;116810;382;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.0;5;106230;371;187
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.0;6;110320;380;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.0;7;106830;394;188
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.0;8;116210;387;203
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.0;9;110410;384;187
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.0;10;112550;374;203
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.0;1;25702;394;250
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.0;2;27172;400;250
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.0;3;26394;400;250
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.0;4;26720;400;266
