problem;instance;n;algorithm;budget;parameters;run;fitness;nfev;time
lop;N-p40-01;;umm-er0;100;;1;14534;99;
lop;N-p40-01;;umm-er0;200;;1;12990;195;
lop;N-p40-01;;umm-er0;400;;1;12747;388;
lop;N-p40-01;;umm-er0;100;;2;14957;98;
lop;N-p40-01;;umm-er0;200;;2;12587;191;
lop;N-p40-01;;umm-er0;400;;2;12198;356;
lop;N-p40-01;;umm-er0;100;;3;15587;89;
lop;N-p40-01;;umm-er0;200;;3;13468;138;
lop;N-p40-01;;umm-er0;400;;3;12600;385;
lop;N-p40-01;;umm-er0;100;;4;14292;96;
lop;N-p40-01;;umm-er0;200;;4;13570;183;
lop;N-p40-01;;umm-er0;400;;4;12417;381;
lop;N-p40-01;;umm-er0;100;;5;14455;86;
lop;N-p40-01;;umm-er0;200;;5;13311;172;
lop;N-p40-01;;umm-er0;400;;5;12724;379;
lop;N-p40-01;;umm-er0;100;;6;14137;87;
lop;N-p40-01;;umm-er0;200;;6;12869;190;
lop;N-p40-01;;umm-er0;400;;6;12065;399;
lop;N-p40-01;;umm-er0;100;;7;14506;98;
lop;N-p40-01;;umm-er0;200;;7;13540;186;
lop;N-p40-01;;umm-er0;400;;7;12612;395;
lop;N-p40-01;;umm-er0;100;;8;13036;99;
lop;N-p40-01;;umm-er0;200;;8;12870;189;
lop;N-p40-01;;umm-er0;400;;8;11454;383;
lop;N-p40-01;;umm-er0;100;;9;14065;90;
lop;N-p40-01;;umm-er0;200;;9;12689;167;
lop;N-p40-01;;umm-er0;400;;9;12528;383;
lop;N-p40-01;;umm-er0;100;;10;15024;95;
lop;N-p40-01;;umm-er0;200;;10;12543;197;
lop;N-p40-01;;umm-er0;400;;10;12346;357;
lop;N-p40-02;;umm-er0;100;;1;15278;93;
lop;N-p40-02;;umm-er0;200;;1;13296;190;
lop;N-p40-02;;umm-er0;400;;1;13167;378;
lop;N-p40-02;;umm-er0;100;;2;15690;81;
lop;N-p40-02;;umm-er0;200;;2;13682;196;
lop;N-p40-02;;umm-er0;400;;2;12710;387;
lop;N-p40-02;;umm-er0;100;;3;16123;95;
lop;N-p40-02;;umm-er0;200;;3;13564;197;
lop;N-p40-02;;umm-er0;400;;3;12874;378;
lop;N-p40-02;;umm-er0;100;;4;14573;56;
lop;N-p40-02;;umm-er0;200;;4;13619;199;
lop;N-p40-02;;umm-er0;400;;4;13562;368;
lop;N-p40-02;;umm-er0;100;;5;14303;95;
lop;N-p40-02;;umm-er0;200;;5;14431;181;
lop;N-p40-02;;umm-er0;400;;5;12707;350;
lop;N-p40-02;;umm-er0;100;;6;14052;95;
lop;N-p40-02;;umm-er0;200;;6;14340;148;
lop;N-p40-02;;umm-er0;400;;6;12779;360;
lop;N-p40-02;;umm-er0;100;;7;15388;89;
lop;N-p40-02;;umm-er0;200;;7;14600;179;
lop;N-p40-02;;umm-er0;400;;7;13006;356;
lop;N-p40-02;;umm-er0;100;;8;14654;94;
lop;N-p40-02;;umm-er0;200;;8;14806;190;
lop;N-p40-02;;umm-er0;400;;8;14090;375;
lop;N-p40-02;;umm-er0;100;;9;14994;89;
lop;N-p40-02;;umm-er0;200;;9;13168;198;
lop;N-p40-02;;umm-er0;400;;9;13579;396;
lop;N-p40-02;;umm-er0;100;;10;15222;92;
lop;N-p40-02;;umm-er0;200;;10;13726;198;
lop;N-p40-02;;umm-er0;400;;10;13131;362;
lop;N-sgb75.01;;umm-er0;100;;1;2075874;66;
lop;N-sgb75.01;;umm-er0;200;;1;1973600;194;
lop;N-sgb75.01;;umm-er0;400;;1;1994750;337;
lop;N-sgb75.01;;umm-er0;100;;2;2021874;83;
lop;N-sgb75.01;;umm-er0;200;;2;2003057;153;
lop;N-sgb75.01;;umm-er0;400;;2;2027672;355;
lop;N-sgb75.01;;umm-er0;100;;3;2150139;98;
lop;N-sgb75.01;;umm-er0;200;;3;2169113;28;
lop;N-sgb75.01;;umm-er0;400;;3;1965140;361;
lop;N-sgb75.01;;umm-er0;100;;4;2035163;64;
lop;N-sgb75.01;;umm-er0;200;;4;1932551;179;
lop;N-sgb75.01;;umm-er0;400;;4;1937575;342;
lop;N-sgb75.01;;umm-er0;100;;5;2051271;90;
lop;N-sgb75.01;;umm-er0;200;;5;2013592;197;
lop;N-sgb75.01;;umm-er0;400;;5;2059096;316;
lop;N-sgb75.01;;umm-er0;100;;6;1994011;100;
lop;N-sgb75.01;;umm-er0;200;;6;1946415;159;
lop;N-sgb75.01;;umm-er0;400;;6;1943464;398;
lop;N-sgb75.01;;umm-er0;100;;7;2021100;76;
lop;N-sgb75.01;;umm-er0;200;;7;2036446;195;
lop;N-sgb75.01;;umm-er0;400;;7;2035884;293;
lop;N-sgb75.01;;umm-er0;100;;8;2149212;69;
lop;N-sgb75.01;;umm-er0;200;;8;2019250;188;
lop;N-sgb75.01;;umm-er0;400;;8;1980659;380;
lop;N-sgb75.01;;umm-er0;100;;9;2116020;94;
lop;N-sgb75.01;;umm-er0;200;;9;2020350;180;
lop;N-sgb75.01;;umm-er0;400;;9;1969939;372;
lop;N-sgb75.01;;umm-er0;100;;10;2126452;88;
lop;N-sgb75.01;;umm-er0;200;;10;1998343;190;
lop;N-sgb75.01;;umm-er0;400;;10;2006420;372;
lop;N-sgb75.02;;umm-er0;100;;1;1979122;97;
lop;N-sgb75.02;;umm-er0;200;;1;2057673;193;
lop;N-sgb75.02;;umm-er0;400;;1;2050975;301;
